Date,Close
2023-08-11,303.13
2023-08-12,302.44
2023-08-13,306.51
2023-08-14,316.0
2023-08-15,314.68
2023-08-16,313.36
2023-08-17,323.42
2023-08-18,328.54
2023-08-19,325.62
2023-08-20,329.32
2023-08-21,326.43
2023-08-22,323.55
2023-08-23,325.28
2023-08-24,313.0
2023-08-25,302.36
2023-08-26,299.11
2023-08-27,293.2
2023-08-28,295.19
2023-08-29,289.97
2023-08-30,281.93
2023-08-31,290.33
2023-09-01,289.17
2023-09-02,289.7
2023-09-03,281.59
2023-09-04,278.67
2023-09-05,279.43
2023-09-06,273.13
2023-09-07,275.32
2023-09-08,272.15
2023-09-09,270.7
2023-09-10,267.58
2023-09-11,277.62
2023-09-12,277.69
2023-09-13,271.95
2023-09-14,276.56
2023-09-15,269.95
2023-09-16,271.21
2023-09-17,260.72
2023-09-18,253.92
2023-09-19,255.05
2023-09-20,258.94
2023-09-21,259.96
2023-09-22,259.49
2023-09-23,258.06
2023-09-24,250.55
2023-09-25,247.07
2023-09-26,244.92
2023-09-27,250.22
2023-09-28,252.06
2023-09-29,243.3
2023-09-30,245.0
2023-10-01,243.24
2023-10-02,240.07
2023-10-03,243.12
2023-10-04,248.26
2023-10-05,253.0
2023-10-06,248.88
2023-10-07,247.47
2023-10-08,249.23
2023-10-09,254.22
2023-10-10,251.91
2023-10-11,251.1
2023-10-12,245.67
2023-10-13,239.92
2023-10-14,243.94
2023-10-15,250.67
2023-10-16,250.44
2023-10-17,255.59
2023-10-18,257.57
2023-10-19,254.37
2023-10-20,256.34
2023-10-21,264.35
2023-10-22,264.29
2023-10-23,272.7
2023-10-24,258.55
2023-10-25,262.92
2023-10-26,263.51
2023-10-27,262.07
2023-10-28,262.68
2023-10-29,252.37
2023-10-30,251.39
2023-10-31,253.31
2023-11-01,260.92
2023-11-02,258.35
2023-11-03,254.3
2023-11-04,251.88
2023-11-05,256.61
2023-11-06,258.43
2023-11-07,255.82
2023-11-08,258.57
2023-11-09,259.21
2023-11-10,264.36
2023-11-11,260.78
2023-11-12,259.2
2023-11-13,257.3
2023-11-14,249.89
2023-11-15,251.5
2023-11-16,252.94
2023-11-17,253.09
2023-11-18,252.03
2023-11-19,245.02
2023-11-20,243.08
2023-11-21,241.54
2023-11-22,237.78
2023-11-23,237.13
2023-11-24,239.17
2023-11-25,248.31
2023-11-26,249.3
2023-11-27,250.71
2023-11-28,250.46
2023-11-29,240.98
2023-11-30,240.97
2023-12-01,241.38
2023-12-02,253.39
2023-12-03,252.54
2023-12-04,254.19
2023-12-05,254.14
2023-12-06,248.33
2023-12-07,254.13
2023-12-08,258.08
2023-12-09,262.29
2023-12-10,257.65
2023-12-11,265.01
2023-12-12,257.71
2023-12-13,260.87
2023-12-14,272.42
2023-12-15,267.16
2023-12-16,264.27
2023-12-17,264.93
2023-12-18,262.39
2023-12-19,254.39
2023-12-20,254.86
2023-12-21,249.58
2023-12-22,252.07
2023-12-23,247.56
2023-12-24,255.35
2023-12-25,251.48
2023-12-26,249.99
2023-12-27,254.18
2023-12-28,248.05
2023-12-29,249.3
2023-12-30,255.94
2023-12-31,247.84
2024-01-01,248.88
2024-01-02,250.3
2024-01-03,254.34
2024-01-04,248.18
2024-01-05,241.75
2024-01-06,244.39
2024-01-07,245.96
2024-01-08,247.32
2024-01-09,249.16
2024-01-10,245.89
2024-01-11,247.16
2024-01-12,248.73
2024-01-13,245.3
2024-01-14,254.58
2024-01-15,257.12
2024-01-16,251.12
2024-01-17,254.54
2024-01-18,249.71
2024-01-19,253.76
2024-01-20,259.77
2024-01-21,255.64
2024-01-22,260.69
2024-01-23,262.97
2024-01-24,267.43
2024-01-25,277.71
2024-01-26,276.48
2024-01-27,272.45
2024-01-28,267.74
2024-01-29,263.51
2024-01-30,263.23
2024-01-31,265.16
2024-02-01,266.76
2024-02-02,271.31
2024-02-03,271.51
2024-02-04,279.54
2024-02-05,278.2
2024-02-06,293.47
2024-02-07,297.29
2024-02-08,292.35
2024-02-09,286.23
2024-02-10,289.14
2024-02-11,287.99
2024-02-12,292.24
2024-02-13,295.16
2024-02-14,294.87
2024-02-15,290.03
2024-02-16,281.39
2024-02-17,279.01
2024-02-18,283.93
2024-02-19,285.29
2024-02-20,278.32
2024-02-21,279.43
2024-02-22,281.72
2024-02-23,276.88
2024-02-24,277.87
2024-02-25,278.33
2024-02-26,272.11
2024-02-27,274.19
2024-02-28,277.41
2024-02-29,283.55
2024-03-01,289.67
2024-03-02,281.84
2024-03-03,276.69
2024-03-04,279.68
2024-03-05,282.69
2024-03-06,285.75
2024-03-07,307.91
2024-03-08,311.58
2024-03-09,318.81
2024-03-10,325.05
2024-03-11,329.45
2024-03-12,327.53
2024-03-13,332.67
2024-03-14,327.69
2024-03-15,326.31
2024-03-16,323.3
2024-03-17,323.99
2024-03-18,339.15
2024-03-19,326.66
2024-03-20,331.3
2024-03-21,320.78
2024-03-22,317.92
2024-03-23,325.0
2024-03-24,325.58
2024-03-25,318.72
2024-03-26,314.32
2024-03-27,318.75
2024-03-28,314.26
2024-03-29,315.77
2024-03-30,316.22
2024-03-31,312.26
2024-04-01,325.8
2024-04-02,330.1
2024-04-03,316.89
2024-04-04,318.23
2024-04-05,314.18
2024-04-06,319.69
2024-04-07,314.78
2024-04-08,314.22
2024-04-09,317.55
2024-04-10,323.21
2024-04-11,315.61
2024-04-12,313.66
2024-04-13,310.83
2024-04-14,306.93
2024-04-15,317.92
2024-04-16,320.65
2024-04-17,312.73
2024-04-18,318.62
2024-04-19,332.31
2024-04-20,339.34
2024-04-21,329.19
2024-04-22,326.17
2024-04-23,334.6
2024-04-24,330.03
2024-04-25,333.12
2024-04-26,338.45
2024-04-27,332.35
2024-04-28,332.12
2024-04-29,310.75
2024-04-30,304.54
2024-05-01,303.16
2024-05-02,295.74
2024-05-03,305.54
2024-05-04,296.96
2024-05-05,294.49
2024-05-06,295.41
2024-05-07,304.07
2024-05-08,295.49
2024-05-09,302.52
2024-05-10,302.73
2024-05-11,296.94
2024-05-12,299.83
2024-05-13,301.17
2024-05-14,297.71
2024-05-15,298.27
2024-05-16,296.12
2024-05-17,296.94
2024-05-18,301.03
2024-05-19,310.72
2024-05-20,303.19
2024-05-21,316.27
2024-05-22,304.08
2024-05-23,303.31
2024-05-24,307.03
2024-05-25,308.91
2024-05-26,305.22
2024-05-27,304.1
2024-05-28,301.25
2024-05-29,297.85
2024-05-30,303.06
2024-05-31,305.38
2024-06-01,301.3
2024-06-02,306.87
2024-06-03,308.91
2024-06-04,314.09
2024-06-05,318.2
2024-06-06,313.08
2024-06-07,309.73
2024-06-08,314.52
2024-06-09,318.51
2024-06-10,318.54
2024-06-11,319.45
2024-06-12,327.77
2024-06-13,324.05
2024-06-14,327.76
2024-06-15,326.6
2024-06-16,325.34
2024-06-17,332.65
